supplier_id,name,website,missing
vc-1abb20e0-53a2-4830-acd1-08739bb5cec5,360° Real Estate & Services (360RES),https://www.immobiliare360res.it/,contact_email
vc-4c431754-5aef-4b30-9cff-45b327ae82b2,Apartments Florence Real Estate SAS di Fagnoni Lorenzo e C.,https://www.apartmentsflorencere.com,contact_email
vc-8c0dca5f-da6a-46ba-922c-5837d5f08936,Apartments Florence S.r.l.,https://www.apartmentsflorence.it,contact_email
vc-4832cb8c-e6ab-40af-8794-34fe4d94d9b4,Apartments in Florence (Konnettiamo Srl),https://apartmentsinflorence.net,contact_email
vc-ce67796c-e742-488e-8e6a-102ab6f9c02b,Appartamenti Bologna — Andrea Cerasi,https://appartamentibologna.com,contact_email
vc-b03fb0cd-1e00-431c-b97a-a3b08268cc64,Area Affari,https://www.areaaffari.com,contact_email
vc-bf467bfb-b8ba-4152-8942-0e984f181ea1,Boom Rome — Egidi Immobiliare S.r.l.,https://www.boomrome.com,contact_email
vc-01c285ca-9c05-4a60-88ab-76ad0cfa0293,Caloi Immobiliare,https://caloiimmobiliare.it,contact_email
vc-2e065262-b26e-4ddb-a2f1-59541173f868,Casa dei Professionisti — Ferro Claudio & C. SAS,https://www.casadeiprofessionisti.it,contact_email
vc-eabd77fd-5c71-490e-8a06-5a0f2dd8f9bb,Chiusano & C. Immobiliare,https://www.chiusano.it,contact_email
vc-5d3c6032-1ed2-416a-b715-475b3cefa6a0,Coldwell Banker Italy — Daisy56 S.r.l.,https://www.coldwellbanker.it,contact_email
vc-c3567a49-961a-491e-a7e1-abb4fb39b3bc,Erre Emme Servizi Immobiliari di Riccardo Mirone,https://www.immobiliare.it/agenzie-immobiliari/1761/erre-emme-napoli/,contact_email
vc-90767645-730a-4a74-a8c4-f87ce95b848a,Exclusive RE — Christie's International Real Estate (Loyal Immobili S.r.l.),https://exclusivere.it,contact_email
vc-c9f17a9c-db16-4bf2-a66c-4ff6a896cde7,Fasano Immobiliare,https://fasanoimmobiliare.it,contact_email
vc-68cf1c3f-ad96-4b94-8ee1-ddffe18e5d97,FGIMMOBILIARE di Errico Giovanni (REPLAT Affiliato Bagnoli),http://www.replataffiliatobagnoli.it/,contact_email
vc-92e9d759-14be-4876-a09a-4259cf899423,Finalmente Casa Verona,https://www.finalmentecasaverona.it,contact_email
vc-3243b017-7534-4336-8dfa-761e33095ba4,Florence and Abroad S.r.l.,https://www.florenceandabroad.com,contact_email
vc-be22fc06-cae9-4a04-b254-165a4194f149,Genova International Immobiliare di Karolina Loshuk,https://www.genovainternational.com,contact_email
vc-d34efb2f-d30d-4814-a974-93a6b4d2b57a,House in Florence — Agency E.T. di Federico Pieri s.a.s.,https://www.houseinflorence.com,contact_email
vc-e34ff370-e179-4a7d-b2b1-24cb0b9b3131,Housy Milano (Up-Town srl),https://www.housymilano.it,contact_email
vc-11957352-7916-4ff2-bf28-14dcb1664cf3,Immobiliare Maffei,https://www.immobiliaremaffei.it,contact_email
vc-49593b15-ebff-447e-9069-260cc060b093,Immobiliare Verona Centrale,https://www.immobiliareveronacentrale.it,contact_email
vc-c8b7133a-b1d3-411a-b90f-39f2abdc8f0f,Immobiliare Z.B. S.R.L.,https://www.immobiliarezb.com,contact_email
vc-d1b55535-0cdd-480b-b859-a17326a811c5,InquiliniDOC — Daniele Castagna agente abilitato CCIAA Bologna,https://www.inquilinidoc.it,contact_email
vc-2e6d28a9-8059-4801-bab0-d431c8cfc415,IO Immobiliare Ottaviani,https://www.ioimmobiliare.it,contact_email
vc-ad453662-ffc1-4803-a9c9-9f55bc4a8ea5,Italian Property Group,https://italianpropertygroup.com,contact_email
vc-f712400d-3984-443d-af7c-de248093d16f,Knight Immobiliare s.r.l.,https://www.knightimmobiliare.it/,contact_email
vc-11eca5ec-3b66-4c70-b7b4-1c51922d085b,Krea Immobiliare,https://www.kreaimmobiliare.com,contact_email
vc-bd4af84b-a352-4cf7-adad-ad0d7d18b159,Lo Presti Immobiliare di Silvia Lo Presti,https://www.loprestiimmobiliare.it,contact_email
vc-efe50029-6274-4e40-a6b2-cdef63e8c2f8,Mihouz (Andreoni Davide),https://mihouz.it,contact_email
vc-40bd469a-a523-4146-834d-69c852222cb9,Mondore Srl,https://www.mondore.it,contact_email
vc-268572fe-088a-480d-a08b-15d9fa020127,Puccio Case,https://www.pucciocase.it,contact_email
